1,6135,0.98,-0.14,0.11,-0.00,-0.03,-0.22,-0.29,-1639,-2150,6981,8,-4,-1,0,0,0,-2
2,6177,0.99,-0.13,-0.03,0.07,-0.14,0.04,-0.26,126,-2452,8471,0,-2,0,0,0,0,-2
3,6253,0.85,-0.09,0.49,-0.17,0.42,-0.93,-0.32,-7542,-3874,4884,5,2,0,0,0,0,-2
4,6320,0.91,-0.34,0.20,0.05,-0.26,-0.42,-0.65,-4165,-4815,4465,1,-7,-1,0,0,0,-2
5,6398,-0.86,-0.14,-0.26,0.40,0.97,-0.61,0.03,-8294,-16456,4358,91,-4,0,0,0,0,-2
0,6481,0.99,-0.11,0.10,-0.01,-0.01,-0.19,-0.21,-1640,-2168,7058,8,-4,-1,0,0,0,-2
1,6867,0.85,0.07,-0.51,0.10,-0.48,1.07,0.01,7117,-18,4253,2,-1,-1,0,0,0,-2
2,6897,0.99,-0.13,-0.03,0.08,-0.16,0.04,-0.26,111,-2415,8479,0,-2,0,0,0,0,-2
3,6971,0.84,-0.06,0.49,-0.21,0.60,-0.93,-0.32,-7537,-3866,4871,5,2,0,0,0,0,-2
4,7040,0.92,-0.35,0.19,0.07,-0.28,-0.41,-0.65,-4153,-4817,4449,1,-7,-2,0,0,0,-2
5,7118,-0.51,-0.36,-0.21,0.75,1.80,-0.85,0.05,-8303,-16434,4360,91,-3,0,0,0,0,-2
0,7199,0.99,-0.06,0.08,-0.02,0.03,-0.16,-0.13,-1638,-2174,7048,8,-4,-1,0,0,0,-2
1,7586,0.85,0.08,-0.51,0.11,-0.53,1.07,0.02,7153,-10,4235,1,-2,-1,0,0,0,-2
2,7618,0.99,-0.13,-0.03,0.10,-0.18,0.04,-0.26,118,-2428,8463,0,-2,0,0,0,0,-2
3,7691,0.83,-0.04,0.49,-0.25,0.77,-0.93,-0.32,-7538,-3864,4892,5,2,0,0,0,0,-2
4,7759,0.92,-0.35,0.18,0.09,-0.31,-0.40,-0.65,-4151,-4816,4471,1,-7,-2,0,0,0,-2
5,7837,0.05,-0.44,-0.01,0.90,-3.02,-0.91,-0.06,-8299,-16419,4369,91,-3,0,0,0,0,-2
0,7918,1.00,-0.04,0.07,-0.03,0.06,-0.14,-0.08,-1630,-2149,7056,8,-3,-1,0,0,0,-2
1,8306,0.85,0.08,-0.51,0.13,-0.58,1.08,0.01,7091,-24,4251,1,-2,0,0,0,0,-2
2,8338,0.99,-0.13,-0.04,0.11,-0.21,0.04,-0.26,113,-2435,8497,0,-2,1,0,0,0,-2
3,8410,0.82,-0.02,0.50,-0.29,0.93,-0.93,-0.32,-7552,-3863,4890,5,1,0,0,0,0,-2
4,8479,0.91,-0.35,0.17,0.11,-0.34,-0.39,-0.65,-4144,-4831,4472,1,-7,-2,0,0,0,-2
5,8557,0.57,-0.36,0.21,0.70,-1.65,-0.86,-0.12,-8293,-16436,4376,91,-3,0,0,0,0,-2
0,8637,1.00,-0.02,0.07,-0.05,0.09,-0.13,-0.05,-1632,-2149,7056,8,-3,-1,0,0,0,-2
1,9024,0.85,0.09,-0.50,0.14,-0.62,1.07,0.01,7114,-7,4246,1,-1,0,0,0,0,-2
2,9058,0.98,-0.13,-0.04,0.12,-0.23,0.04,-0.26,126,-2436,8516,1,-2,1,0,0,0,-2
3,9127,0.80,0.01,0.50,-0.33,1.06,-0.93,-0.32,-7559,-3864,4908,5,2,0,0,0,0,-2
4,9199,0.91,-0.36,0.16,0.13,-0.37,-0.39,-0.65,-4142,-4818,4476,1,-7,-2,0,0,0,-2
5,9275,0.87,-0.17,0.37,0.27,-0.79,-0.83,-0.10,-8292,-16432,4390,91,-3,0,0,0,0,-2
0,9356,1.00,-0.01,0.06,-0.06,0.12,-0.12,-0.03,-1628,-2154,7063,8,-4,-1,0,0,0,-2
1,9743,0.85,0.10,-0.50,0.15,-0.67,1.07,0.02,7133,41,4222,1,-2,0,0,0,0,-2
2,9778,0.98,-0.12,-0.04,0.13,-0.25,0.04,-0.26,143,-2413,8491,1,-2,1,0,0,0,-2
3,9847,0.79,0.03,0.50,-0.36,1.18,-0.93,-0.32,-7521,-3840,4890,6,2,0,0,0,0,-2
4,9919,0.91,-0.36,0.15,0.15,-0.40,-0.39,-0.65,-4142,-4811,4485,1,-7,-2,0,0,0,-2
5,9994,0.88,0.07,0.40,-0.26,0.76,-0.83,-0.09,-8304,-16410,4356,91,-3,0,0,0,0,-2
0,10074,1.00,-0.01,0.06,-0.07,0.15,-0.12,-0.02,-1641,-2150,7070,8,-4,-1,0,0,0,-2
1,10463,0.84,0.11,-0.50,0.16,-0.71,1.07,0.02,7256,46,4285,1,-2,0,0,0,0,-2
2,10498,0.98,-0.12,-0.04,0.14,-0.28,0.04,-0.26,170,-2373,8354,-1,-2,1,0,0,0,-2
3,10566,0.77,0.05,0.49,-0.40,1.28,-0.93,-0.32,-7525,-3826,4910,5,1,0,0,0,0,-2
4,10640,0.90,-0.36,0.14,0.18,-0.43,-0.38,-0.65,-4115,-4840,4499,1,-7,-2,0,0,0,-2
5,10734,0.57,0.29,0.29,-0.71,1.76,-0.84,-0.08,-8290,-16419,4398,91,-4,0,0,0,0,-2
0,10813,0.99,-0.00,0.06,-0.09,0.18,-0.12,-0.01,-1614,-2106,7066,8,-4,-1,0,0,0,-2
1,11182,0.84,0.11,-0.50,0.18,-0.75,1.08,0.02,7151,25,4235,1,-2,0,0,0,0,1
2,11198,0.98,-0.12,-0.04,0.15,-0.30,0.05,-0.26,148,-2432,8527,0,-2,0,0,0,0,1
3,11285,0.75,0.08,0.49,-0.43,1.38,-0.93,-0.32,-7538,-3854,4910,5,2,-1,0,0,0,1
4,11360,0.90,-0.37,0.13,0.20,-0.47,-0.38,-0.66,-4088,-4792,4427,1,-6,-1,0,0,0,1
5,11433,0.09,0.40,0.09,-0.91,2.81,-0.84,-0.09,-8266,-16411,4351,91,-3,0,0,0,0,1
0,11531,0.99,0.00,0.06,-0.10,0.21,-0.12,-0.01,-1609,-2157,7037,8,-2,-1,0,0,0,1
1,11900,0.84,0.12,-0.50,0.19,-0.79,1.08,0.01,7126,-16,4235,1,-2,0,0,0,0,1
2,11937,0.98,-0.12,-0.04,0.17,-0.32,0.05,-0.26,134,-2441,8498,0,-2,0,0,0,0,1
3,12003,0.73,0.10,0.49,-0.47,1.46,-0.93,-0.32,-7534,-3853,4905,5,2,0,0,0,0,1
4,12081,0.90,-0.37,0.12,0.22,-0.50,-0.38,-0.66,-4113,-4827,4482,1,-7,-1,0,0,0,1
5,12172,-0.45,0.38,-0.16,-0.79,-1.92,-0.84,-0.09,-8271,-16429,4362,91,-3,0,0,0,0,1
0,12250,0.99,0.00,0.06,-0.12,0.24,-0.12,-0.01,-1625,-2159,7080,8,-4,-1,0,0,0,1
1,12619,0.84,0.13,-0.50,0.20,-0.82,1.08,0.02,7132,20,4223,1,-2,0,0,0,0,1
2,12639,0.98,-0.12,-0.05,0.18,-0.34,0.05,-0.26,124,-2438,8460,0,-2,0,0,0,0,1
3,12723,0.71,0.12,0.48,-0.50,1.53,-0.93,-0.32,-7535,-3868,4913,5,2,0,0,0,0,1
4,12800,0.89,-0.37,0.11,0.24,-0.53,-0.38,-0.66,-4122,-4831,4478,1,-7,-2,0,0,0,1
5,12871,-0.81,0.23,-0.34,-0.42,-1.11,-0.84,-0.09,-8293,-16424,4381,91,-4,0,0,0,0,1
0,12968,0.99,0.00,0.06,-0.13,0.27,-0.12,-0.01,-1627,-2133,7045,8,-4,-1,0,0,0,1
1,13339,0.83,0.13,-0.50,0.21,-0.86,1.08,0.01,7133,-14,4216,1,-2,0,0,0,0,1
2,13358,0.97,-0.12,-0.05,0.19,-0.37,0.05,-0.26,149,-2437,8478,0,-2,1,0,0,0,1
3,13442,0.68,0.14,0.47,-0.54,1.60,-0.93,-0.32,-7530,-3864,4912,5,1,0,0,0,0,1
4,13520,0.89,-0.37,0.10,0.26,-0.56,-0.38,-0.66,-4108,-4817,4488,1,-7,-2,0,0,0,1
5,13590,-0.91,0.00,-0.41,0.11,0.29,-0.84,-0.09,-8284,-16426,4371,91,-3,0,0,0,0,1
