1,6139,0.96,-0.22,0.16,-0.00,-0.07,-0.31,-0.44,-2485,-3505,6993,8,-3,-1,0,0,0,-2
2,6177,1.00,0.04,-0.05,0.05,-0.10,0.10,0.08,559,485,8735,0,-2,0,0,0,0,-2
3,6254,0.94,0.03,0.31,-0.11,0.29,-0.64,-0.02,-4350,-1313,6684,5,2,0,0,0,0,-2
4,6322,0.98,-0.05,0.17,-0.01,0.01,-0.35,-0.11,-3473,-957,5859,1,-7,-2,0,0,0,-2
5,6403,0.60,0.38,0.20,-0.68,1.56,-0.86,0.19,-8802,-11908,5454,91,-3,0,0,0,0,-2
0,6486,0.97,-0.19,0.14,-0.01,-0.04,-0.28,-0.37,-2520,-3550,7069,8,-3,-1,0,0,0,-2
1,6847,0.99,0.01,-0.14,0.06,-0.13,0.29,0.00,2198,-338,8504,1,-2,0,0,0,0,-2
2,6878,1.00,0.04,-0.05,0.05,-0.11,0.10,0.08,566,493,8730,0,-2,0,0,0,0,-2
3,6953,0.94,0.04,0.31,-0.14,0.36,-0.64,-0.02,-4367,-1311,6689,5,2,0,0,0,0,-2
4,7021,0.98,-0.05,0.16,-0.02,0.02,-0.33,-0.11,-3462,-968,5874,1,-7,-1,0,0,0,-2
5,7102,0.04,0.52,-0.05,-0.85,3.08,-1.07,0.13,-8815,-11908,5439,91,-3,0,0,0,0,-2
0,7184,0.98,-0.15,0.13,-0.02,0.00,-0.25,-0.30,-2509,-3546,7058,8,-3,-1,0,0,0,-2
1,7567,0.99,0.01,-0.14,0.07,-0.15,0.29,0.00,2192,-337,8497,1,-2,0,0,0,0,-2
2,7598,1.00,0.04,-0.05,0.06,-0.13,0.10,0.08,567,492,8713,0,-2,0,0,0,0,-2
3,7671,0.93,0.05,0.31,-0.17,0.43,-0.64,-0.01,-4357,-1312,6698,5,2,0,0,0,0,-2
4,7742,0.99,-0.05,0.16,-0.03,0.04,-0.31,-0.10,-3477,-968,5869,1,-7,-1,0,0,0,-2
5,7820,-0.55,0.39,-0.33,-0.66,-1.67,-1.07,0.01,-8806,-11903,5463,91,-3,0,0,0,0,-2
0,7903,0.98,-0.13,0.12,-0.04,0.04,-0.24,-0.26,-2512,-3553,7060,8,-3,-1,0,0,0,-2
1,8286,0.99,0.01,-0.14,0.08,-0.16,0.29,0.00,2192,-339,8506,1,-2,0,0,0,0,-2
2,8318,1.00,0.04,-0.05,0.07,-0.15,0.10,0.08,575,498,8724,0,-2,0,0,0,0,-2
3,8390,0.93,0.06,0.31,-0.19,0.50,-0.64,-0.01,-4363,-1306,6690,5,2,0,0,0,0,-2
4,8462,0.99,-0.05,0.15,-0.03,0.05,-0.31,-0.10,-3472,-960,5881,1,-7,-2,0,0,0,-2
5,8539,-0.86,0.09,-0.48,-0.17,-0.64,-1.01,0.01,-8807,-11909,5458,91,-3,0,0,0,0,-2
0,8622,0.99,-0.11,0.12,-0.05,0.08,-0.23,-0.23,-2520,-3537,7046,8,-3,-1,0,0,0,-2
1,9005,0.99,0.01,-0.14,0.08,-0.18,0.29,0.00,2204,-338,8507,1,-2,0,0,0,0,-2
2,9038,0.99,0.04,-0.05,0.08,-0.16,0.10,0.08,571,498,8722,0,-2,0,0,0,0,-2
3,9109,0.92,0.07,0.31,-0.22,0.57,-0.64,-0.01,-4360,-1318,6692,5,2,0,0,0,0,-2
4,9182,0.99,-0.04,0.15,-0.04,0.07,-0.30,-0.10,-3462,-963,5860,1,-7,-1,0,0,0,-2
5,9259,-0.78,-0.24,-0.42,0.40,1.19,-1.00,0.04,-8807,-11905,5456,90,-3,0,0,0,0,-2
