1,6134,0.97,-0.19,0.16,-0.00,-0.06,-0.32,-0.38,-2457,-2973,6953,8,-3,-1,0,0,0,-2
2,6176,0.99,-0.09,0.06,0.06,-0.13,-0.12,-0.16,-1372,-1654,8583,1,-2,1,0,0,0,-2
3,6253,0.86,-0.01,0.48,-0.17,0.53,-0.97,-0.18,-7502,-2532,5173,6,1,0,0,0,0,-2
4,6319,0.93,-0.30,0.20,0.05,-0.23,-0.41,-0.58,-4030,-4247,4795,1,-7,-2,0,0,0,-2
5,6398,0.62,-0.26,0.20,0.71,-1.67,-0.67,-0.04,-8618,-15612,4725,91,-3,0,0,0,0,-2
0,6480,0.98,-0.15,0.15,-0.01,-0.03,-0.29,-0.31,-2527,-3005,7020,8,-3,-1,0,0,0,-2
1,6867,0.89,0.07,-0.44,0.09,-0.37,0.92,0.05,6496,215,5314,1,-2,0,0,0,0,-2
2,6896,0.99,-0.09,0.06,0.07,-0.15,-0.12,-0.16,-1397,-1658,8611,0,-2,1,0,0,0,-2
3,6971,0.85,0.01,0.48,-0.21,0.68,-0.97,-0.18,-7476,-2514,5153,6,1,0,0,0,0,-2
4,7040,0.93,-0.31,0.18,0.07,-0.26,-0.39,-0.58,-4038,-4270,4848,1,-7,-2,0,0,0,-2
5,7117,0.87,-0.11,0.40,0.28,-0.84,-0.85,0.04,-8612,-15618,4744,91,-3,0,0,0,0,-2
0,7198,0.98,-0.11,0.13,-0.03,0.02,-0.26,-0.23,-2525,-2988,7013,8,-3,-1,0,0,0,-2
1,7586,0.89,0.08,-0.44,0.10,-0.41,0.92,0.05,6490,211,5338,1,-2,0,0,0,0,-2
2,7617,0.99,-0.09,0.06,0.08,-0.17,-0.13,-0.16,-1417,-1648,8608,0,-2,1,0,0,0,-2
3,7691,0.84,0.03,0.48,-0.24,0.82,-0.97,-0.18,-7460,-2525,5155,5,1,0,0,0,0,-2
4,7759,0.93,-0.31,0.17,0.09,-0.28,-0.38,-0.58,-4005,-4263,4854,1,-7,-1,0,0,0,-2
5,7837,0.85,0.13,0.43,-0.29,0.90,-0.92,-0.03,-8587,-15627,4754,91,-4,0,0,0,0,-2
0,7917,0.99,-0.09,0.13,-0.04,0.06,-0.25,-0.19,-2531,-2998,7006,8,-2,-1,0,0,0,-2
1,8306,0.89,0.08,-0.44,0.12,-0.45,0.92,0.05,6504,205,5324,1,-2,0,0,0,0,-2
2,8337,0.99,-0.09,0.05,0.09,-0.19,-0.12,-0.16,-1406,-1674,8622,0,-2,1,0,0,0,-2
3,8410,0.83,0.06,0.48,-0.28,0.94,-0.97,-0.18,-7466,-2539,5167,6,1,0,0,0,0,-2
4,8478,0.93,-0.31,0.16,0.10,-0.31,-0.38,-0.58,-4024,-4289,4810,1,-7,-2,0,0,0,-2
5,8556,0.51,0.33,0.28,-0.74,1.84,-0.90,-0.08,-8624,-15616,4724,91,-3,0,0,0,0,-2
0,8636,0.99,-0.08,0.12,-0.06,0.10,-0.24,-0.16,-2545,-3020,6996,8,-4,-1,0,0,0,-2
1,9024,0.89,0.09,-0.44,0.13,-0.48,0.92,0.05,6504,204,5305,1,-2,0,0,0,0,-2
2,9056,0.99,-0.09,0.05,0.10,-0.21,-0.12,-0.16,-1378,-1646,8610,0,-2,0,0,0,0,-2
3,9127,0.81,0.08,0.48,-0.32,1.05,-0.98,-0.18,-7455,-2547,5132,5,1,0,0,0,0,-2
4,9199,0.93,-0.31,0.16,0.12,-0.34,-0.37,-0.58,-4044,-4263,4824,2,-7,-1,0,0,0,-2
5,9275,-0.01,0.42,0.04,-0.91,3.13,-0.87,-0.08,-8590,-15668,4805,91,-4,0,0,0,0,-2
0,9355,0.99,-0.06,0.12,-0.08,0.15,-0.23,-0.15,-2510,-2989,7005,8,-3,-1,0,0,0,-2
1,9744,0.88,0.10,-0.44,0.14,-0.52,0.92,0.05,6492,229,5321,1,-2,0,0,0,0,-2
2,9777,0.99,-0.09,0.05,0.11,-0.23,-0.12,-0.16,-1412,-1647,8611,0,-2,1,0,0,0,-2
3,9847,0.80,0.10,0.47,-0.36,1.15,-0.97,-0.18,-7437,-2533,5171,4,2,-1,0,0,0,-2
4,9919,0.93,-0.32,0.15,0.14,-0.36,-0.37,-0.58,-4003,-4277,4846,1,-7,-2,0,0,0,-2
5,9994,-0.53,0.36,-0.22,-0.74,-1.76,-0.87,-0.06,-8597,-15623,4730,91,-4,0,0,0,0,-2
0,10093,0.99,-0.06,0.12,-0.10,0.19,-0.23,-0.14,-2498,-3030,7036,9,-5,-1,0,0,0,-2
1,10463,0.88,0.11,-0.43,0.16,-0.56,0.91,0.06,6728,186,5938,29,25,-6,0,0,0,-2
